id,proprietario,peso
0f1e95e6-a408-4d26-81b0-a38c37abe219,Cortie Cadreman,99.09
4f228722-6598-4d26-b8af-cd3b444406c5,Piper Lamble,30.82
6fb56604-73a7-4d0e-988f-ecf2f4cdeacc,Renaldo Innis,67.61
887cfddf-33f5-4af0-a488-5d1e0de8c2b1,Pall O' Cuolahan,99.17
b51b0b7e-7d8c-4e55-937e-61afb15bbe97,Alistair Jamme,18.08
856950de-2fdf-4607-b3c8-4af513a7981f,Sylas Skoate,87.91
22e8d381-096e-4db9-b44d-0b7cd1b4c62b,Sanford Inglefield,84.21
783a5aba-da2c-4923-b18b-85e803a02c02,Joella Eplett,84.01
3a31c053-b29f-44e3-b83d-41d504c7aa68,Major Lacase,8.08
7dc453fa-3f47-416a-8189-c2a39d980120,Garrott Massey,78.9
92ab7755-f22c-49a3-9f95-678ab01f87d5,Herby Mattke,31.77
8a8d51cf-8896-4b07-ae19-daab281e82c0,Karmen D'Adda,55.62
a163b514-6a09-4d2d-aa33-fc2c50c545ce,Jeremy Van Ross,97.82
6712e191-7e86-4a73-8667-d5deb94790b7,Barnebas Davidovitch,94.15
13d8f3e1-01ba-4b64-bd93-f64f4123bb68,Mathias Henrot,13.32
20398230-acc7-4673-8f21-2b41b4930525,Robby Cornelleau,22.45
f246d60c-5674-461a-926f-9e6f4b03a340,Bailey Cotterrill,30.71
04f5c42e-159b-46f0-81e7-9caf0eb54964,Genvieve Dinsdale,88.13
bab75492-804e-40d9-90ec-5160a70c233b,Sargent Orr,12.19
63746171-bd54-423e-811a-9e7c58d139f4,Wit Parkins,68.92
e38e1644-9eaa-4f17-af22-98a2b047a9eb,Aime Terrington,80.43
96fac265-f005-4031-b98b-d66ed68fe9f3,Claus Zamora,90.04
e9f77937-d411-4c57-99bd-4c8555408f14,Cathryn Busby,47.43
da8607a3-e517-46a8-bcae-442f525cd296,Eolanda Maxworthy,8.19
20e1e60a-9f8f-4201-bd46-054b65f47acd,Caty McCarrell,54.01
e17fb72a-00cd-4185-aa7c-1feaee7ae16b,Chrystel Thurber,93.79
53abe556-8d63-4e2e-bd01-989b7f469239,Miner Vokins,98.26
80eb6854-5528-4336-be04-46f3b3e1ccaf,Trueman Dehm,9.71
1a09feb9-e2f1-40da-b042-05bd28fe9d64,Clarita McGrory,98.04
f6b2c1f0-423d-41e7-9a94-34b1752a4dca,Evelyn MacDearmaid,21.29
639974ee-93e0-402d-b41a-77d4bd8c04d3,Nealy Fawssett,23.67
9183921e-3a19-40ae-8297-6e719c7b43a6,Jewell Dovington,88.33
c60d21d0-5dc0-41da-b9bd-2c6dc8bb5f58,Ring MacMenamie,37.42
2aaf521e-76d5-46fd-9f87-b9644593799a,Ronni Sweatman,15.37
624d8635-d55b-4ade-b1b5-ed8bd6bb75de,Gregorius Earey,88.9
b6fd43a8-f93b-4e08-ad8c-a31200b70e6b,Brendis Habercham,95.32
962f58ee-a620-4bd5-95d7-f686fe947975,Devinne Pennings,98.91
d4c82f84-88c2-40f7-a91e-aa6e685bfca0,Carlyn Planke,35.09
48eff89d-e71c-4b04-88e3-f0dd6048c934,Margarethe Gringley,99.18
6668b71c-e8d9-4849-9bb7-cc8698c185e0,Bertie Bernolet,51.81
d7379aeb-ff80-4a07-a524-58d5ab1de732,Waldo Slinn,28.06
578eceed-e8c4-406d-9920-61f8b602fb5e,Sophey Indge,77.7
6bb63736-5757-488d-b061-3f308192b4de,Alameda Pigford,85.21
2e42dc9b-30e8-4cb9-bd2c-37ba4becc6b1,Anthony Corrin,15.38
1a1931ba-cac8-43f8-b562-a67436efd615,Gianni Rhubottom,58.98
cf45a991-66d8-4fd6-9039-2bf7af4d8699,Donn Behnecken,33.48
0e532887-2c96-41fb-8fd7-f93358423e13,Rozanne Daines,48.48
8489338b-89ab-478d-9313-afe550be0f50,Hubie Smittoune,67.68
7c9f0718-7f61-42a6-a9e2-768884546d3c,Stanly Phippard,58.6
b44db985-e49d-4f8b-96d7-c813af0f5e44,Ad Isenor,35.65
59a0c5b8-aab1-48aa-a1cf-693c2798c9a2,Allene Penton,73.6
1feae71e-a036-4289-bbfb-6d79ed7ccf70,Thurstan Bernat,88.22
00607be0-2670-4be0-acc1-b3947b68310f,Vilhelmina Drewett,56.75
e5769898-67ea-47cc-9954-0deb1f5396cd,Del Brickstock,96.01
f959026b-2f43-4eb4-8ed3-826c467922cc,Gerardo Cordey,56.52
137cd7df-7441-41ca-b0c9-6304564e1ab4,Andriana Ledwidge,51.87
45a21d72-4e12-450b-a651-23ce73a782c2,Aldric Swash,82.47
ef86d306-cff3-4323-bcda-11b187cbf493,Costa Bache,51.34
d40bc190-6394-402c-a4e8-367503fa9568,Wilfrid O'Day,17.2
9390afd4-6639-4f8a-830b-d07ffae2cf79,Rafi Piers,9.33
f8bc1f64-5a47-4ddb-b353-f2e0fb11ab9a,Jacintha Waddilove,96.08
aef5d554-cde4-4835-9be4-1e6a52c5cf41,Austina Creffeild,47.35
a5b2e7cb-2355-4f82-babd-b60768f9d619,Roberto Robertsson,14.05
64fe7945-e3f2-4044-a5d7-73557bb54345,Noella Taylorson,64.97
dc4d437e-28e6-4e65-b988-b4264182ef1b,Aigneis Casero,47.24
e2413354-07ed-4cbc-a968-4634a8590866,Virgie Liddall,90.23
51a88140-a718-4ba3-9276-2ecde07316da,Kaspar Wornham,55.33
588a2810-5f6c-4f14-8aff-6f3428eec16e,Gisele Lorriman,17.79
477973fe-5233-4e56-afc5-4daf39528cf9,Olwen Wisbey,10.91
8570a5ab-d3de-46a0-90d5-9c64e443f9d1,Gillie Huxley,56.96
1f97fc80-5583-42f7-a502-ea8559acaab0,Lezley Goodered,60.41
78747e2b-71ba-4986-a480-59f7348aa7c4,Mohammed Gueny,84.46
48c64430-9a57-48a4-bbc7-dec94af8bcf3,Nan Dartnell,8.39
48167843-6c5d-45b6-a177-ca95882af699,Pavel Brigge,65.81
3539bf93-1568-4752-806d-7ada0ec44209,Stanleigh McCreadie,83.64
b272681a-fec2-4715-bede-6f51b76f6847,Nichols Gamwell,97.24
83fa44eb-056a-4a4b-af8c-869aeaab2e9e,Terza Dyte,74.04
2cbd0fde-deea-44cf-9b59-28683c9dc72a,Read Boustead,85.18
313a3813-7a4b-4afe-8c1f-77b5545e7981,Hendrika Caldera,47.44
b0f733a4-3d1d-4e3b-bc97-4fe0653f21e1,Rici Braham,44.03
ff9af1fd-990d-492e-a0c4-52d3185e157a,Ulrikaumeko Pleat,12.18
c168c06c-99d5-4298-bb96-bc9d61a16da0,Pren Bordone,82.9
5028f948-e427-42c2-86cb-2c19846def56,Belita Caudell,63.45
78ba543e-b378-456f-b004-13924b4ba4c9,Ellery Douse,97.34
4c697ec8-d76d-4296-9388-40ea36b38a97,Wolfie Joust,9.34
91a041af-5107-48f1-9d07-8a3179e6c905,Broddy Fladgate,97.25
e2ba8f7a-79a5-40b0-928a-b0f7d724bded,Dunstan Habbergham,55.0
9b2789ee-f515-4678-9286-79390aaee36c,Elie Lerer,63.69
ee21aaf6-91f5-4dba-a38d-c7f18d5d7188,Aubrey Coughlin,20.42
b97f709a-3b4a-425e-b17e-e803cd4fde39,Ingeborg Daelman,56.07
d149d6a1-df15-4dc7-84e7-61d34d2753ec,Nicolea Padly,36.18
27ae0221-f783-4d10-9246-6d69a01a84f0,Florette Hubery,48.67
1c8bb3b4-598e-4701-b2da-af379b2b2c04,Shanda Knell,73.73
88957dcd-253a-4963-8653-4660a2dfad8f,Tove Yanov,83.62
9470c016-24f1-46b8-b44d-dab5dc87bf24,Horatia Blunderfield,8.41
263ea15c-8675-4513-a208-b2c132821a62,Darline Ryburn,13.28
6666fa4b-1d42-4dc2-800e-48be4433c6cc,Manda Treadway,84.68
b2e7a880-b1bd-4602-9135-cc4a9022d76a,Nathanael Sparrow,51.07
96b40eba-0058-4b71-9232-bc757ecab4b6,Aubrie Weaver,28.55
95da23ed-312f-4455-b325-477d4ac84499,Herbert Fidian,56.65
